took 0.675926 seconds, 40.288327 ns per cacheline, pageSize= 663552 , cacheLine=64, pages=1618 tlb misses=262445
took 0.675692 seconds, 40.274386 ns per cacheline, pageSize= 667648 , cacheLine=64, pages=1608 tlb misses=262422
took 0.675713 seconds, 40.275637 ns per cacheline, pageSize= 671744 , cacheLine=64, pages=1598 tlb misses=262385
took 0.668329 seconds, 39.835513 ns per cacheline, pageSize= 675840 , cacheLine=64, pages=1588 tlb misses=262343
took 0.673980 seconds, 40.172338 ns per cacheline, pageSize= 679936 , cacheLine=64, pages=1579 tlb misses=262435
took 0.677552 seconds, 40.385245 ns per cacheline, pageSize= 684032 , cacheLine=64, pages=1569 tlb misses=262345
took 0.669671 seconds, 39.915506 ns per cacheline, pageSize= 688128 , cacheLine=64, pages=1560 tlb misses=262436
took 0.669320 seconds, 39.894587 ns per cacheline, pageSize= 692224 , cacheLine=64, pages=1551 tlb misses=262443
took 0.670442 seconds, 39.961463 ns per cacheline, pageSize= 696320 , cacheLine=64, pages=1542 tlb misses=262463
took 0.678989 seconds, 40.470908 ns per cacheline, pageSize= 700416 , cacheLine=64, pages=1533 tlb misses=262457
took 0.672073 seconds, 40.058680 ns per cacheline, pageSize= 704512 , cacheLine=64, pages=1524 tlb misses=262555
took 0.667767 seconds, 39.802018 ns per cacheline, pageSize= 708608 , cacheLine=64, pages=1515 tlb misses=262418
took 0.676332 seconds, 40.312528 ns per cacheline, pageSize= 712704 , cacheLine=64, pages=1506 tlb misses=262394
took 0.668063 seconds, 39.819653 ns per cacheline, pageSize= 716800 , cacheLine=64, pages=1497 tlb misses=262309
took 0.676869 seconds, 40.344531 ns per cacheline, pageSize= 720896 , cacheLine=64, pages=1489 tlb misses=262413
took 0.676103 seconds, 40.298872 ns per cacheline, pageSize= 724992 , cacheLine=64, pages=1481 tlb misses=262667
took 0.673172 seconds, 40.124178 ns per cacheline, pageSize= 729088 , cacheLine=64, pages=1472 tlb misses=262452
took 0.679904 seconds, 40.525435 ns per cacheline, pageSize= 733184 , cacheLine=64, pages=1464 tlb misses=262360
took 0.678001 seconds, 40.412019 ns per cacheline, pageSize= 737280 , cacheLine=64, pages=1456 tlb misses=262538
took 0.672241 seconds, 40.068684 ns per cacheline, pageSize= 741376 , cacheLine=64, pages=1448 tlb misses=262396
took 0.682575 seconds, 40.684640 ns per cacheline, pageSize= 745472 , cacheLine=64, pages=1440 tlb misses=262379
