took 1.013335 seconds, 60.399472 ns per cacheline, pageSize= 823296 , cacheLine=64, pages=1304 tlb misses=262206
took 0.996006 seconds, 59.366585 ns per cacheline, pageSize= 827392 , cacheLine=64, pages=1297 tlb misses=262141
took 1.005856 seconds, 59.953692 ns per cacheline, pageSize= 831488 , cacheLine=64, pages=1291 tlb misses=262348
took 1.003811 seconds, 59.831805 ns per cacheline, pageSize= 835584 , cacheLine=64, pages=1285 tlb misses=262370
took 0.992459 seconds, 59.155170 ns per cacheline, pageSize= 839680 , cacheLine=64, pages=1278 tlb misses=262085
took 1.002523 seconds, 59.755024 ns per cacheline, pageSize= 843776 , cacheLine=64, pages=1272 tlb misses=262158
took 1.003454 seconds, 59.810517 ns per cacheline, pageSize= 847872 , cacheLine=64, pages=1266 tlb misses=262171
took 1.003102 seconds, 59.789542 ns per cacheline, pageSize= 851968 , cacheLine=64, pages=1260 tlb misses=262353
took 1.014976 seconds, 60.497285 ns per cacheline, pageSize= 856064 , cacheLine=64, pages=1254 tlb misses=262214
took 1.011095 seconds, 60.265961 ns per cacheline, pageSize= 860160 , cacheLine=64, pages=1248 tlb misses=262349
took 1.009231 seconds, 60.154861 ns per cacheline, pageSize= 864256 , cacheLine=64, pages=1242 tlb misses=262195
took 1.002366 seconds, 59.745659 ns per cacheline, pageSize= 868352 , cacheLine=64, pages=1236 tlb misses=262149
took 1.009182 seconds, 60.151933 ns per cacheline, pageSize= 872448 , cacheLine=64, pages=1230 tlb misses=262156
took 0.990299 seconds, 59.026419 ns per cacheline, pageSize= 876544 , cacheLine=64, pages=1224 tlb misses=262199
took 1.005522 seconds, 59.933782 ns per cacheline, pageSize= 880640 , cacheLine=64, pages=1219 tlb misses=262367
took 1.007750 seconds, 60.066583 ns per cacheline, pageSize= 884736 , cacheLine=64, pages=1213 tlb misses=262285
took 1.009517 seconds, 60.171899 ns per cacheline, pageSize= 888832 , cacheLine=64, pages=1208 tlb misses=262233
took 1.005186 seconds, 59.913759 ns per cacheline, pageSize= 892928 , cacheLine=64, pages=1202 tlb misses=262177
took 1.002215 seconds, 59.736678 ns per cacheline, pageSize= 897024 , cacheLine=64, pages=1197 tlb misses=262383
took 1.004766 seconds, 59.888720 ns per cacheline, pageSize= 901120 , cacheLine=64, pages=1191 tlb misses=262418
took 1.002880 seconds, 59.776298 ns per cacheline, pageSize= 905216 , cacheLine=64, pages=1186 tlb misses=262197
took 1.005109 seconds, 59.909169 ns per cacheline, pageSize= 909312 , cacheLine=64, pages=1180 tlb misses=262075
took 1.011391 seconds, 60.283597 ns per cacheline, pageSize= 913408 , cacheLine=64, pages=1175 tlb misses=262424
took 1.002837 seconds, 59.773740 ns per cacheline, pageSize= 917504 , cacheLine=64, pages=1170 tlb misses=262693
took 1.008336 seconds, 60.101499 ns per cacheline, pageSize= 921600 , cacheLine=64, pages=1165 tlb misses=262217
took 1.018326 seconds, 60.696962 ns per cacheline, pageSize= 925696 , cacheLine=64, pages=1159 tlb misses=262027
took 1.002057 seconds, 59.727242 ns per cacheline, pageSize= 929792 , cacheLine=64, pages=1154 tlb misses=262223
took 0.999811 seconds, 59.593376 ns per cacheline, pageSize= 933888 , cacheLine=64, pages=1149 tlb misses=262254
took 0.999739 seconds, 59.589084 ns per cacheline, pageSize= 937984 , cacheLine=64, pages=1144 tlb misses=262079
took 1.005936 seconds, 59.958452 ns per cacheline, pageSize= 942080 , cacheLine=64, pages=1139 tlb misses=262440
took 0.991236 seconds, 59.082282 ns per cacheline, pageSize= 946176 , cacheLine=64, pages=1134 tlb misses=262430
took 1.000792 seconds, 59.651853 ns per cacheline, pageSize= 950272 , cacheLine=64, pages=1129 tlb misses=262125
took 1.005294 seconds, 59.920183 ns per cacheline, pageSize= 954368 , cacheLine=64, pages=1125 tlb misses=262375
took 0.997664 seconds, 59.465407 ns per cacheline, pageSize= 958464 , cacheLine=64, pages=1120 tlb misses=262559
took 1.002831 seconds, 59.773384 ns per cacheline, pageSize= 962560 , cacheLine=64, pages=1115 tlb misses=262394
took 1.001170 seconds, 59.674377 ns per cacheline, pageSize= 966656 , cacheLine=64, pages=1110 tlb misses=262275
took 1.011912 seconds, 60.314662 ns per cacheline, pageSize= 970752 , cacheLine=64, pages=1106 tlb misses=262215
took 1.000212 seconds, 59.617278 ns per cacheline, pageSize= 974848 , cacheLine=64, pages=1101 tlb misses=262489
took 1.006021 seconds, 59.963526 ns per cacheline, pageSize= 978944 , cacheLine=64, pages=1096 tlb misses=262058
took 0.999078 seconds, 59.549691 ns per cacheline, pageSize= 983040 , cacheLine=64, pages=1092 tlb misses=262169
took 1.001283 seconds, 59.681113 ns per cacheline, pageSize= 987136 , cacheLine=64, pages=1087 tlb misses=262100
