took 1.008536 seconds, 60.113436 ns per cacheline, pageSize= 557056 , cacheLine=64, pages=1927 tlb misses=262059
took 1.020819 seconds, 60.845551 ns per cacheline, pageSize= 561152 , cacheLine=64, pages=1913 tlb misses=262138
took 1.005767 seconds, 59.948391 ns per cacheline, pageSize= 565248 , cacheLine=64, pages=1899 tlb misses=262127
took 1.008718 seconds, 60.124279 ns per cacheline, pageSize= 569344 , cacheLine=64, pages=1885 tlb misses=262080
took 1.009886 seconds, 60.193898 ns per cacheline, pageSize= 573440 , cacheLine=64, pages=1872 tlb misses=262143
took 1.003279 seconds, 59.800087 ns per cacheline, pageSize= 577536 , cacheLine=64, pages=1859 tlb misses=262188
took 1.009361 seconds, 60.162606 ns per cacheline, pageSize= 581632 , cacheLine=64, pages=1846 tlb misses=262097
took 1.009112 seconds, 60.147755 ns per cacheline, pageSize= 585728 , cacheLine=64, pages=1833 tlb misses=262153
took 1.008754 seconds, 60.126425 ns per cacheline, pageSize= 589824 , cacheLine=64, pages=1820 tlb misses=262147
took 1.009737 seconds, 60.185002 ns per cacheline, pageSize= 593920 , cacheLine=64, pages=1807 tlb misses=262083
took 1.010723 seconds, 60.243792 ns per cacheline, pageSize= 598016 , cacheLine=64, pages=1795 tlb misses=262122
took 1.004427 seconds, 59.868526 ns per cacheline, pageSize= 602112 , cacheLine=64, pages=1783 tlb misses=262160
took 1.010547 seconds, 60.233305 ns per cacheline, pageSize= 606208 , cacheLine=64, pages=1771 tlb misses=262172
took 1.009329 seconds, 60.160701 ns per cacheline, pageSize= 610304 , cacheLine=64, pages=1759 tlb misses=262139
took 1.010835 seconds, 60.250457 ns per cacheline, pageSize= 614400 , cacheLine=64, pages=1747 tlb misses=262096
took 1.007681 seconds, 60.062476 ns per cacheline, pageSize= 618496 , cacheLine=64, pages=1736 tlb misses=262157
took 0.995958 seconds, 59.363728 ns per cacheline, pageSize= 622592 , cacheLine=64, pages=1724 tlb misses=262096
took 1.000539 seconds, 59.636776 ns per cacheline, pageSize= 626688 , cacheLine=64, pages=1713 tlb misses=262127
took 1.000480 seconds, 59.633265 ns per cacheline, pageSize= 630784 , cacheLine=64, pages=1702 tlb misses=262169
took 1.017049 seconds, 60.620835 ns per cacheline, pageSize= 634880 , cacheLine=64, pages=1691 tlb misses=262166
took 1.007336 seconds, 60.041913 ns per cacheline, pageSize= 638976 , cacheLine=64, pages=1680 tlb misses=262138
took 0.990776 seconds, 59.054855 ns per cacheline, pageSize= 643072 , cacheLine=64, pages=1669 tlb misses=262088
took 1.014973 seconds, 60.497101 ns per cacheline, pageSize= 647168 , cacheLine=64, pages=1659 tlb misses=262349
took 1.013759 seconds, 60.424739 ns per cacheline, pageSize= 651264 , cacheLine=64, pages=1648 tlb misses=262105
took 1.004191 seconds, 59.854443 ns per cacheline, pageSize= 655360 , cacheLine=64, pages=1638 tlb misses=262151
took 1.000355 seconds, 59.625805 ns per cacheline, pageSize= 659456 , cacheLine=64, pages=1628 tlb misses=262195
took 1.003859 seconds, 59.834662 ns per cacheline, pageSize= 663552 , cacheLine=64, pages=1618 tlb misses=262163
took 1.004024 seconds, 59.844496 ns per cacheline, pageSize= 667648 , cacheLine=64, pages=1608 tlb misses=262163
took 1.009472 seconds, 60.169228 ns per cacheline, pageSize= 671744 , cacheLine=64, pages=1598 tlb misses=262134
took 1.008727 seconds, 60.124819 ns per cacheline, pageSize= 675840 , cacheLine=64, pages=1588 tlb misses=262068
took 1.004503 seconds, 59.873045 ns per cacheline, pageSize= 679936 , cacheLine=64, pages=1579 tlb misses=262003
took 1.001961 seconds, 59.721529 ns per cacheline, pageSize= 684032 , cacheLine=64, pages=1569 tlb misses=262099
took 1.010047 seconds, 60.203490 ns per cacheline, pageSize= 688128 , cacheLine=64, pages=1560 tlb misses=262163
took 1.021412 seconds, 60.880893 ns per cacheline, pageSize= 692224 , cacheLine=64, pages=1551 tlb misses=262218
took 1.005009 seconds, 59.903215 ns per cacheline, pageSize= 696320 , cacheLine=64, pages=1542 tlb misses=262214
took 1.007438 seconds, 60.047981 ns per cacheline, pageSize= 700416 , cacheLine=64, pages=1533 tlb misses=262141
took 1.006539 seconds, 59.994392 ns per cacheline, pageSize= 704512 , cacheLine=64, pages=1524 tlb misses=262382
took 1.011920 seconds, 60.315145 ns per cacheline, pageSize= 708608 , cacheLine=64, pages=1515 tlb misses=262172
took 1.005957 seconds, 59.959717 ns per cacheline, pageSize= 712704 , cacheLine=64, pages=1506 tlb misses=262124
took 0.997141 seconds, 59.434242 ns per cacheline, pageSize= 716800 , cacheLine=64, pages=1497 tlb misses=262048
took 1.031676 seconds, 61.492685 ns per cacheline, pageSize= 720896 , cacheLine=64, pages=1489 tlb misses=262082
took 0.996611 seconds, 59.402652 ns per cacheline, pageSize= 724992 , cacheLine=64, pages=1481 tlb misses=262396
took 1.006520 seconds, 59.993269 ns per cacheline, pageSize= 729088 , cacheLine=64, pages=1472 tlb misses=262099
took 1.005983 seconds, 59.961266 ns per cacheline, pageSize= 733184 , cacheLine=64, pages=1464 tlb misses=262151
took 1.011115 seconds, 60.267155 ns per cacheline, pageSize= 737280 , cacheLine=64, pages=1456 tlb misses=262134
took 1.010801 seconds, 60.248439 ns per cacheline, pageSize= 741376 , cacheLine=64, pages=1448 tlb misses=262170
took 1.008517 seconds, 60.112299 ns per cacheline, pageSize= 745472 , cacheLine=64, pages=1440 tlb misses=262050
took 1.005173 seconds, 59.912978 ns per cacheline, pageSize= 749568 , cacheLine=64, pages=1432 tlb misses=262165
took 1.008174 seconds, 60.091850 ns per cacheline, pageSize= 753664 , cacheLine=64, pages=1424 tlb misses=262116
took 1.016066 seconds, 60.562257 ns per cacheline, pageSize= 757760 , cacheLine=64, pages=1416 tlb misses=262031
took 1.001970 seconds, 59.722069 ns per cacheline, pageSize= 761856 , cacheLine=64, pages=1409 tlb misses=262040
took 1.012623 seconds, 60.357038 ns per cacheline, pageSize= 765952 , cacheLine=64, pages=1401 tlb misses=262066
took 1.015249 seconds, 60.513557 ns per cacheline, pageSize= 770048 , cacheLine=64, pages=1394 tlb misses=262167
took 0.998152 seconds, 59.494496 ns per cacheline, pageSize= 774144 , cacheLine=64, pages=1387 tlb misses=262181
took 1.014100 seconds, 60.445075 ns per cacheline, pageSize= 778240 , cacheLine=64, pages=1379 tlb misses=262105
took 1.012431 seconds, 60.345585 ns per cacheline, pageSize= 782336 , cacheLine=64, pages=1372 tlb misses=262127
took 1.006940 seconds, 60.018294 ns per cacheline, pageSize= 786432 , cacheLine=64, pages=1365 tlb misses=262160
took 0.996624 seconds, 59.403419 ns per cacheline, pageSize= 790528 , cacheLine=64, pages=1358 tlb misses=262165
took 0.999722 seconds, 59.588075 ns per cacheline, pageSize= 794624 , cacheLine=64, pages=1351 tlb misses=262191
took 1.006922 seconds, 60.017229 ns per cacheline, pageSize= 798720 , cacheLine=64, pages=1344 tlb misses=262139
took 1.015707 seconds, 60.540856 ns per cacheline, pageSize= 802816 , cacheLine=64, pages=1337 tlb misses=261894
took 1.003490 seconds, 59.812663 ns per cacheline, pageSize= 806912 , cacheLine=64, pages=1330 tlb misses=262094
took 1.003387 seconds, 59.806524 ns per cacheline, pageSize= 811008 , cacheLine=64, pages=1323 tlb misses=261910
took 0.989514 seconds, 58.979637 ns per cacheline, pageSize= 815104 , cacheLine=64, pages=1317 tlb misses=268402
took 0.996020 seconds, 59.367423 ns per cacheline, pageSize= 819200 , cacheLine=64, pages=1310 tlb misses=262739
took 1.014579 seconds, 60.473624 ns per cacheline, pageSize= 823296 , cacheLine=64, pages=1304 tlb misses=262376
took 1.017567 seconds, 60.651729 ns per cacheline, pageSize= 827392 , cacheLine=64, pages=1297 tlb misses=262030
took 1.012350 seconds, 60.340767 ns per cacheline, pageSize= 831488 , cacheLine=64, pages=1291 tlb misses=262138
took 1.005915 seconds, 59.957216 ns per cacheline, pageSize= 835584 , cacheLine=64, pages=1285 tlb misses=262203
took 1.011270 seconds, 60.276392 ns per cacheline, pageSize= 839680 , cacheLine=64, pages=1278 tlb misses=262061
took 1.009451 seconds, 60.167963 ns per cacheline, pageSize= 843776 , cacheLine=64, pages=1272 tlb misses=262102
took 1.003411 seconds, 59.807959 ns per cacheline, pageSize= 847872 , cacheLine=64, pages=1266 tlb misses=262137
took 1.007090 seconds, 60.027247 ns per cacheline, pageSize= 851968 , cacheLine=64, pages=1260 tlb misses=262152
took 1.000551 seconds, 59.637486 ns per cacheline, pageSize= 856064 , cacheLine=64, pages=1254 tlb misses=262170
took 0.990723 seconds, 59.051686 ns per cacheline, pageSize= 860160 , cacheLine=64, pages=1248 tlb misses=262204
took 1.006396 seconds, 59.985865 ns per cacheline, pageSize= 864256 , cacheLine=64, pages=1242 tlb misses=262131
took 1.003777 seconds, 59.829773 ns per cacheline, pageSize= 868352 , cacheLine=64, pages=1236 tlb misses=262113
took 1.003903 seconds, 59.837276 ns per cacheline, pageSize= 872448 , cacheLine=64, pages=1230 tlb misses=262059
took 0.995894 seconds, 59.359920 ns per cacheline, pageSize= 876544 , cacheLine=64, pages=1224 tlb misses=262010
took 1.012564 seconds, 60.353514 ns per cacheline, pageSize= 880640 , cacheLine=64, pages=1219 tlb misses=262001
took 1.005324 seconds, 59.921987 ns per cacheline, pageSize= 884736 , cacheLine=64, pages=1213 tlb misses=262111
took 1.005116 seconds, 59.909581 ns per cacheline, pageSize= 888832 , cacheLine=64, pages=1208 tlb misses=262195
took 1.011496 seconds, 60.289850 ns per cacheline, pageSize= 892928 , cacheLine=64, pages=1202 tlb misses=262334
took 0.997424 seconds, 59.451111 ns per cacheline, pageSize= 897024 , cacheLine=64, pages=1197 tlb misses=262228
took 0.999048 seconds, 59.547901 ns per cacheline, pageSize= 901120 , cacheLine=64, pages=1191 tlb misses=262094
took 1.009873 seconds, 60.193130 ns per cacheline, pageSize= 905216 , cacheLine=64, pages=1186 tlb misses=262191
took 1.007511 seconds, 60.052329 ns per cacheline, pageSize= 909312 , cacheLine=64, pages=1180 tlb misses=262029
took 1.011586 seconds, 60.295221 ns per cacheline, pageSize= 913408 , cacheLine=64, pages=1175 tlb misses=262342
took 1.000543 seconds, 59.637017 ns per cacheline, pageSize= 917504 , cacheLine=64, pages=1170 tlb misses=261964
took 1.013060 seconds, 60.383087 ns per cacheline, pageSize= 921600 , cacheLine=64, pages=1165 tlb misses=262201
took 1.046702 seconds, 62.388310 ns per cacheline, pageSize= 925696 , cacheLine=64, pages=1159 tlb misses=262021
took 1.001243 seconds, 59.678740 ns per cacheline, pageSize= 929792 , cacheLine=64, pages=1154 tlb misses=262290
took 1.007945 seconds, 60.078207 ns per cacheline, pageSize= 933888 , cacheLine=64, pages=1149 tlb misses=262061
took 0.986051 seconds, 58.773225 ns per cacheline, pageSize= 937984 , cacheLine=64, pages=1144 tlb misses=262067
took 0.999570 seconds, 59.579023 ns per cacheline, pageSize= 942080 , cacheLine=64, pages=1139 tlb misses=262044
took 0.987691 seconds, 58.870967 ns per cacheline, pageSize= 946176 , cacheLine=64, pages=1134 tlb misses=262012
took 1.006497 seconds, 59.991891 ns per cacheline, pageSize= 950272 , cacheLine=64, pages=1129 tlb misses=262004
took 0.991763 seconds, 59.113674 ns per cacheline, pageSize= 954368 , cacheLine=64, pages=1125 tlb misses=262198
took 1.006236 seconds, 59.976344 ns per cacheline, pageSize= 958464 , cacheLine=64, pages=1120 tlb misses=262148
took 0.997763 seconds, 59.471319 ns per cacheline, pageSize= 962560 , cacheLine=64, pages=1115 tlb misses=262119
took 1.002130 seconds, 59.731605 ns per cacheline, pageSize= 966656 , cacheLine=64, pages=1110 tlb misses=262050
took 0.998609 seconds, 59.521739 ns per cacheline, pageSize= 970752 , cacheLine=64, pages=1106 tlb misses=262206
took 0.998442 seconds, 59.511777 ns per cacheline, pageSize= 974848 , cacheLine=64, pages=1101 tlb misses=262119
took 0.989459 seconds, 58.976340 ns per cacheline, pageSize= 978944 , cacheLine=64, pages=1096 tlb misses=263036
took 1.002336 seconds, 59.743883 ns per cacheline, pageSize= 983040 , cacheLine=64, pages=1092 tlb misses=262165
took 1.004719 seconds, 59.885906 ns per cacheline, pageSize= 987136 , cacheLine=64, pages=1087 tlb misses=262066
